year,bowler,economy,bowling_strike_rate,bowling_average,per_matches_played,per_balls_faced,per_out,per_runs,per_extras,F,run_1,out_1,str_rate1,bowl_avg1,eco_1,ext,bf,RFM_Segment_Concat,cluster
2014,LL Tsotsobe,9.391304347826086,46.0,72.0,50.0,8.494921514312095,3.2258064516129035,10.510948905109489,4.10958904109589,2,3,2,4,4,4,2,3,23242,5
2009,MEK Hussey,5.0,0.0,0.0,11.111111111111109,0.6309148264984227,0.0,0.4488330341113106,1.0989010989010992,1,1,1,1,1,1,1,1,11111,1
2009,IE O'Brien,8.923076923076922,13.0,19.33333333333333,33.33333333333333,5.877920120572719,7.4074074074074066,7.231920199501247,6.382978723404255,2,2,3,2,2,4,3,2,22343,4
2009,IG Butler,7.894736842105264,13.0,17.105263157894736,100.0,18.61341371514695,23.456790123456788,20.261845386533672,31.914893617021278,4,4,4,2,2,3,4,4,44434,8
2010,IG Butler,7.111111111111112,13.5,16.0,23.07692307692308,3.3374536464771323,4.2105263157894735,3.4557235421166315,1.0752688172043012,1,1,2,2,2,2,1,2,11221,2
2013,IG Butler,7.146067415730338,17.8,21.2,57.14285714285714,11.138923654568211,11.904761904761903,9.532374100719423,30.188679245283016,3,3,3,3,3,2,4,3,33324,6
2014,IG Butler,8.117647058823529,9.714285714285714,13.142857142857142,33.33333333333333,4.959883296863604,10.144927536231883,5.052169137836354,7.6923076923076925,2,2,3,1,2,3,3,2,22333,4
2009,A Khan,7.384615384615384,13.0,16.0,11.111111111111109,2.6449643947100707,4.651162790697675,2.631578947368421,3.0303030303030303,1,1,2,2,2,2,2,1,11222,2
2009,GJ Batty,5.052631578947369,0.0,0.0,11.111111111111109,1.9328585961342828,0.0,1.3157894736842104,1.5151515151515151,1,1,1,1,1,1,1,1,11111,1
2014,GJ Batty,6.837662337662338,23.69230769230769,27.0,93.33333333333331,16.812227074235807,13.402061855670107,16.042047531992687,15.254237288135593,4,4,4,3,3,2,4,4,44424,8
2015,GJ Batty,7.536231884057972,41.4,52.0,50.0,7.135470527404343,3.4246575342465757,6.811632171862719,4.587155963302751,2,2,2,4,4,3,2,2,22232,4
2016,GJ Batty,7.832512315270934,33.833333333333336,44.16666666666666,85.71428571428571,12.695434646654158,8.108108108108109,13.276553106212425,7.5,4,4,3,4,4,3,3,3,44333,8
2017,GJ Batty,6.869158878504673,15.285714285714285,17.5,84.61538461538461,13.665389527458494,17.073170731707318,12.213359920239284,3.571428571428571,4,3,4,2,2,2,2,4,43422,8
2018,GJ Batty,7.56420233463035,21.416666666666668,27.0,50.0,8.169103623649079,6.666666666666668,7.712449416805523,4.035874439461884,2,3,2,3,3,3,2,3,23232,5
2019,GJ Batty,7.0078125,18.285714285714285,21.357142857142858,92.30769230769229,17.902097902097907,18.918918918918923,15.224032586558044,18.367346938775512,4,4,4,3,3,2,4,4,44424,8
2020,GJ Batty,6.39344262295082,16.636363636363637,17.727272727272727,45.45454545454545,6.910876132930513,7.38255033557047,6.1224489795918355,2.4509803921568634,2,2,3,2,2,1,2,2,22312,4
2009,Rubel Hossain,7.676470588235293,34.0,43.5,100.0,19.825072886297377,14.285714285714285,20.863309352517987,35.0,4,4,4,4,4,3,4,4,44434,8
2011,Rubel Hossain,7.783783783783782,37.0,48.0,100.0,14.8,6.666666666666668,19.753086419753085,4.166666666666666,4,4,2,4,4,3,2,4,44232,8
2012,Rubel Hossain,15.75,12.0,31.5,16.666666666666664,3.3057851239669422,6.0606060606060606,6.8927789934354475,0.0,1,2,2,2,4,4,1,1,12241,2
2013,Rubel Hossain,7.384615384615384,26.0,32.0,25.0,5.179282868525896,4.166666666666666,4.945904173106647,15.789473684210524,1,2,2,4,4,2,4,2,12224,2
2014,Rubel Hossain,7.2439024390243905,27.33333333333333,33.0,33.33333333333333,6.3222821896684644,4.6875,7.142857142857142,8.823529411764708,2,2,2,4,4,2,3,2,22223,4
2017,Rubel Hossain,9.047619047619047,14.0,21.11111111111111,71.42857142857143,15.217391304347828,24.324324324324326,15.966386554621847,30.0,3,4,4,2,3,4,4,4,34444,7
2018,Rubel Hossain,8.426086956521738,17.69230769230769,24.84615384615385,66.66666666666666,13.593380614657212,15.294117647058822,14.166666666666664,12.587412587412588,3,4,4,3,3,3,4,4,34434,7
2021,Rubel Hossain,16.5,0.0,0.0,33.33333333333333,4.0540540540540535,0.0,6.4705882352941195,0.0,2,2,1,1,1,4,1,2,22141,4
2009,CS MacLeod,10.64516129032258,0.0,0.0,100.0,19.018404907975462,0.0,18.77133105802048,12.5,4,4,1,1,1,4,3,4,44143,8
2016,CS MacLeod,15.0,0.0,0.0,16.666666666666664,0.9202453987730062,0.0,2.0188425302826376,0.0,1,1,1,1,1,4,1,1,11141,1
2017,CS MacLeod,13.0,0.0,0.0,25.0,1.2096774193548387,0.0,2.155887230514096,0.0,1,1,1,1,1,4,1,1,11141,1
2019,CS MacLeod,5.666666666666668,27.0,25.5,28.57142857142857,3.169014084507042,1.9417475728155336,2.556390977443609,0.0,2,1,1,4,3,1,1,1,21111,3
2013,CS MacLeod,2.8421052631578947,0.0,0.0,16.666666666666664,1.3067400275103165,0.0,0.5635566687539135,7.339449541284404,1,1,1,1,1,1,3,1,11113,1
2015,CS MacLeod,6.0,0.0,0.0,7.6923076923076925,0.4081632653061225,0.0,0.333889816360601,0.0,1,1,1,1,1,1,1,1,11111,1
2009,JH Stander,17.57142857142857,0.0,0.0,100.0,8.588957055214724,0.0,13.993174061433447,25.0,4,4,1,1,1,4,4,3,44144,8
2012,JH Stander,7.777777777777778,13.5,17.5,100.0,10.67193675889328,15.384615384615385,13.461538461538463,20.588235294117645,4,4,4,2,2,3,4,3,44434,8
2009,Mohammad Amir,7.252427184466018,20.6,24.9,90.9090909090909,15.570672713529856,11.627906976744184,19.212962962962962,11.965811965811966,4,4,3,3,3,2,3,4,44323,8
2010,Mohammad Amir,6.154639175257731,12.125,12.4375,44.444444444444436,9.309021113243762,13.333333333333336,8.281315022888057,8.333333333333332,2,3,4,2,2,1,3,3,23413,5
2016,Mohammad Amir,6.3355704697986575,24.83333333333333,26.222222222222218,82.6086956521739,16.518847006651885,14.0625,15.460203078938749,25.654450261780106,4,4,4,4,3,1,4,4,44414,8
2017,Mohammad Amir,6.532347504621072,16.90625,18.40625,71.875,14.361560923812053,15.165876777251187,12.754439151147684,19.634703196347033,3,3,4,2,2,2,4,4,33424,6
2018,Mohammad Amir,6.286396181384249,16.76,17.56,63.33333333333333,12.01950659781985,11.26126126126126,10.804824021658874,10.360360360360358,3,3,3,2,2,1,3,3,33313,6
2019,Mohammad Amir,6.730627306273062,15.485714285714286,17.37142857142857,65.71428571428571,13.638651233014595,17.5,11.817298347910596,20.2846975088968,3,3,4,2,2,2,4,4,33424,6
2020,Mohammad Amir,7.135135135135134,24.66666666666667,29.33333333333333,32.5,5.668326311757947,4.597701149425287,5.2287581699346415,9.427609427609427,2,2,2,4,3,2,3,2,22223,4
2021,Mohammad Amir,6.088888888888889,27.0,27.4,100.0,21.915584415584416,16.666666666666664,16.606060606060606,44.61538461538462,4,4,4,4,3,1,4,4,44414,8
2009,GA Rogers,11.307692307692307,0.0,0.0,50.0,15.950920245398773,0.0,16.723549488054605,37.5,2,4,1,1,1,4,4,4,24144,5
2009,WB Rankin,6.122448979591838,32.666666666666664,33.333333333333336,80.0,16.695059625212945,10.344827586206897,14.064697609001405,20.0,3,4,3,4,4,1,4,4,34314,7
2010,WB Rankin,7.224489795918367,12.25,14.75,33.33333333333333,7.111756168359943,8.51063829787234,8.613138686131387,11.363636363636365,2,3,3,2,2,2,3,2,23323,5
2012,WB Rankin,4.977578475336324,22.3,18.5,81.81818181818183,16.996951219512198,12.987012987012985,14.36335403726708,32.142857142857146,4,4,3,3,2,1,4,4,44314,8
2013,WB Rankin,5.52,25.0,23.0,14.285714285714285,3.355704697986577,2.3255813953488373,2.1698113207547167,9.375,1,1,2,4,3,1,3,2,11213,2
2016,WB Rankin,6.545454545454546,9.0,9.818181818181818,16.666666666666664,2.4943310657596367,4.782608695652174,2.312138728323699,3.629032258064517,1,1,2,1,1,2,2,1,11222,2
2017,WB Rankin,7.82051282051282,16.714285714285715,21.785714285714285,52.17391304347826,8.61878453038674,9.210526315789473,8.58429496200394,6.417112299465241,3,3,3,2,3,3,3,3,33333,6
2018,WB Rankin,8.058394160583942,27.4,36.8,27.27272727272727,5.014641288433382,3.3783783783783785,4.947566550147888,3.825136612021858,2,2,2,4,4,3,2,2,22232,4
2019,WB Rankin,6.8854368932038845,19.074074074074076,21.88888888888889,63.88888888888889,11.811926605504588,10.8,11.077788191190253,11.89710610932476,3,3,3,3,3,2,3,3,33323,6
2020,WB Rankin,9.48,25.0,39.5,33.33333333333333,7.451564828614009,6.0606060606060606,8.615049073064341,11.363636363636365,2,3,2,4,4,4,3,2,23243,5
2014,WB Rankin,8.010810810810813,15.416666666666664,20.58333333333333,57.14285714285714,10.992275698158052,12.244897959183671,12.155511811023624,11.764705882352938,3,3,3,2,3,3,3,3,33333,6
2015,WB Rankin,7.6756756756756745,22.2,28.4,40.0,6.218487394957982,5.494505494505495,6.717123935666982,2.5210084033613445,2,2,2,3,3,3,2,2,22232,4
2009,RM West,6.9075630252100835,39.66666666666666,45.66666666666666,100.0,20.272572402044293,10.344827586206897,19.268635724331926,27.500000000000004,4,4,3,4,4,2,4,4,44324,8
2009,BJ Diamanti,9.5,0.0,0.0,8.333333333333332,0.904295403165034,0.0,1.1845386533665836,2.127659574468085,1,1,1,1,1,4,2,1,11142,1
2009,Nazmul Hossain,7.5,12.0,15.0,33.33333333333333,3.498542274052478,7.142857142857142,3.5971223021582728,20.0,2,2,3,2,2,3,4,2,22334,4
2010,Nazmul Hossain,9.0,0.0,0.0,33.33333333333333,4.0540540540540535,0.0,4.736842105263158,8.333333333333332,2,2,1,1,1,4,3,2,22143,4
